Level I,Level II,Level III,Alevel I,Alevel II,Alevel III
,,MANUAL LABEL,,,Navigate over land
,,MANUAL LABEL,,,Navigate through solids
"Sense, send, or process information",Send signals,KEEP,,Send signals,Send light signals in the visible spectrum
"Sense, send, or process information",Send signals,KEEP,,,Send light signals in the non-visible spectrum
"Sense, send, or process information",Send signals,KEEP,,,Send sound signals
"Sense, send, or process information",Send signals,KEEP,,,Send tactile signals
"Sense, send, or process information",Send signals,KEEP,,,"Send chemical signals (odor, taste, etc.)"
"Sense, send, or process information",Send signals,KEEP,,,Send vibratory signals
"Sense, send, or process information",Send signals,KEEP,,,Send electrical/magnetic signals
"Sense, send, or process information",Process signals,KEEP,,Process signals,Differentiate signal from noise
"Sense, send, or process information",Process signals,Convert signals,,,Transduce/convert signals
"Sense, send, or process information",Process signals,KEEP,,,Respond to signals
"Sense, send, or process information",Sense signals/environmental cues,Sense light in the visible spectrum,,Sense signals/environmental cues,Sense light (visible spectrum) from the environment
"Sense, send, or process information",Sense signals/environmental cues,Sense light in the non-visible spectrum,,,Sense light (non-visible spectrum) from the environment
"Sense, send, or process information",Sense signals/environmental cues,Sense electricity/magnetism,,,Sense electricity/magnetism from the environment
"Sense, send, or process information",Sense signals/environmental cues,KEEP,,,Sense disease in a living system
"Sense, send, or process information",Sense signals/environmental cues,Sense touch and mechanical forces,,,Sense touch and mechanical forces in a living system
"Sense, send, or process information",Sense signals/environmental cues,"Sense chemicals (odor, taste, etc)",,,"Sense chemicals (odor, taste, etc) from the environment"
"Sense, send, or process information",Sense signals/environmental cues,KEEP,,,Sense atmospheric conditions
"Sense, send, or process information",Sense signals/environmental cues,Sense sound/vibrations,,,Sense sound and other vibrations from the environment
"Sense, send, or process information",Sense signals/environmental cues,Sense temperature cues,,,Sense temperature cues from the environment
"Sense, send, or process information",Sense signals/environmental cues,KEEP,,,Sense motion
,,DELETE,,,Sense pain
"Sense, send, or process information",Sense signals/environmental cues,Sense spatial awareness/balance/orientation,,,Sense body awareness
"Sense, send, or process information",Sense signals/environmental cues,Sense spatial awareness/balance/orientation,,,Sense balance/orientation
"Sense, send, or process information",Sense signals/environmental cues,Sense shape and/or pattern,,,Sense shape and pattern in a living system
,,DELETE,,,Sense time and day length
,,DELETE,,Compute,
,,DELETE,,Learn,
,,DELETE,,Encode/Decode,
,,,,,
,,DELETE,Break down,Chemically break down,Cleave heavy metals from organic compounds
,,DELETE,,,Cleave halogens from organic compounds
Chemically assemble or break down,Chemically break down,KEEP,,,Chemically break down inorganic compounds
,,DELETE,,,Chemically break down polymers
Chemically assemble or break down,Chemically break down,KEEP,,,Chemically break down organic compounds
,,DELETE,,,Catalyze chemical breakdown
Physically assemble/disassemble,Break down structure,RAISE,,Physically break down,Break down living materials
Physically assemble/disassemble,Break down structure,RAISE,,,Break down non-living materials
,,,,,
,,MANUAL LABEL,"Get, store, or distribute resources","Capture, absorb, or filter","Capture, absorb, or filter organisms"
,,MANUAL LABEL,,,"Capture, absorb, or filter solids"
,,MANUAL LABEL,,,"Capture, absorb, or filter liquids"
,,MANUAL LABEL,,,"Capture, absorb, or filter gases"
"Manipulate solids, liquids, gases, or energy",Capture resources,Capture energy,,,"Capture, absorb, or filter energy"
,,DELETE,,,"Capture, absorb, or filter chemical entities"
"Manipulate solids, liquids, gases, or energy",Store resources,KEEP,,Store,Store solids
"Manipulate solids, liquids, gases, or energy",Store resources,KEEP,,,Store liquids
"Manipulate solids, liquids, gases, or energy",Store resources,KEEP,,,Store gases
"Manipulate solids, liquids, gases, or energy",Store resources,KEEP,,,Store energy
,,DELETE,,,Store chemical entities
"Manipulate solids, liquids, gases, or energy",Distribute or expel resources,Distribute or expel solids,,Distribute,Distribute solids
"Manipulate solids, liquids, gases, or energy",Distribute or expel resources,Distribute or expel liquids,,,Distribute liquids
"Manipulate solids, liquids, gases, or energy",Distribute or expel resources,Distribute or expel gases,,,Distribute gases
"Manipulate solids, liquids, gases, or energy",Distribute or expel resources,Distribute or expel energy,,,Distribute energy
"Manipulate solids, liquids, gases, or energy",Expel resources,Distribute or expel solids,,Expel resources,Expel solids
"Manipulate solids, liquids, gases, or energy",Expel resources,Distribute or expel liquids,,,Expel liquids
"Manipulate solids, liquids, gases, or energy",Expel resources,Distribute or expel gases,,,Expel gases
